time_iso8601,stars_cumulative
2024-10-25 00:00:00+00:00,3226
2024-10-26 00:00:00+00:00,3230
2024-10-27 00:00:00+00:00,3237
2024-10-28 00:00:00+00:00,3244
2024-10-29 00:00:00+00:00,3249
2024-10-30 00:00:00+00:00,3254
2024-10-31 00:00:00+00:00,3262
2024-11-01 00:00:00+00:00,3268
2024-11-02 00:00:00+00:00,3275
2024-11-03 00:00:00+00:00,3279
2024-11-04 00:00:00+00:00,3286
2024-11-05 00:00:00+00:00,3292
2024-11-06 00:00:00+00:00,3302
2024-11-07 00:00:00+00:00,3311
2024-11-08 00:00:00+00:00,3315
2024-11-09 00:00:00+00:00,3322
2024-11-10 00:00:00+00:00,3327
2024-11-11 00:00:00+00:00,3331
2024-11-12 00:00:00+00:00,3338
2024-11-13 00:00:00+00:00,3343
2024-11-14 00:00:00+00:00,3348
2024-11-15 00:00:00+00:00,3351
2024-11-16 00:00:00+00:00,3356
2024-11-17 00:00:00+00:00,3363
2024-11-18 00:00:00+00:00,3365
2024-11-19 00:00:00+00:00,3370
2024-11-20 00:00:00+00:00,3372
2024-11-21 00:00:00+00:00,3380
2024-11-22 00:00:00+00:00,3384
2024-11-23 00:00:00+00:00,3388
2024-11-24 00:00:00+00:00,3397
2024-11-25 00:00:00+00:00,3400
2024-11-26 00:00:00+00:00,3407
2024-11-27 00:00:00+00:00,3408
2024-11-28 00:00:00+00:00,3411
2024-11-29 00:00:00+00:00,3418
2024-11-30 00:00:00+00:00,3420
2024-12-01 00:00:00+00:00,3425
2024-12-02 00:00:00+00:00,3431
2024-12-03 00:00:00+00:00,3437
2024-12-04 00:00:00+00:00,3442
2024-12-05 00:00:00+00:00,3449
2024-12-06 00:00:00+00:00,3452
2024-12-07 00:00:00+00:00,3456
2024-12-08 00:00:00+00:00,3458
2024-12-09 00:00:00+00:00,3461
2024-12-10 00:00:00+00:00,3473
2024-12-11 00:00:00+00:00,3525
2024-12-12 00:00:00+00:00,3550
2024-12-13 00:00:00+00:00,3554
2024-12-14 00:00:00+00:00,3558
2024-12-16 00:00:00+00:00,3562
2024-12-17 00:00:00+00:00,3564
2024-12-18 00:00:00+00:00,3567
2024-12-19 00:00:00+00:00,3570
2024-12-21 00:00:00+00:00,3572
2024-12-22 00:00:00+00:00,3575
2024-12-23 00:00:00+00:00,3576
2024-12-25 00:00:00+00:00,3578
2024-12-26 00:00:00+00:00,3589
2024-12-27 00:00:00+00:00,3591
2024-12-28 00:00:00+00:00,3592
2024-12-29 00:00:00+00:00,3594
2024-12-30 00:00:00+00:00,3596
2024-12-31 00:00:00+00:00,3598
2025-01-01 00:00:00+00:00,3601
2025-01-02 00:00:00+00:00,3603
2025-01-03 00:00:00+00:00,3608
2025-01-05 00:00:00+00:00,3621
2025-01-06 00:00:00+00:00,3627
2025-01-07 00:00:00+00:00,3629
2025-01-08 00:00:00+00:00,3630
2025-01-10 00:00:00+00:00,3633
2025-01-12 00:00:00+00:00,3635
2025-01-13 00:00:00+00:00,3638
2025-01-14 00:00:00+00:00,3640
2025-01-15 00:00:00+00:00,3642
2025-01-16 00:00:00+00:00,3645
2025-01-17 00:00:00+00:00,3650
2025-01-18 00:00:00+00:00,3652
2025-01-19 00:00:00+00:00,3653
2025-01-20 00:00:00+00:00,3654
2025-01-21 00:00:00+00:00,3657
2025-01-22 00:00:00+00:00,3661
2025-01-23 00:00:00+00:00,3662
2025-01-24 00:00:00+00:00,3665
2025-01-25 00:00:00+00:00,3667
2025-01-27 00:00:00+00:00,3668
2025-01-28 00:00:00+00:00,3679
2025-01-29 00:00:00+00:00,3686
2025-01-30 00:00:00+00:00,3694
2025-01-31 00:00:00+00:00,3697
2025-02-01 00:00:00+00:00,3701
2025-02-02 00:00:00+00:00,3704
2025-02-03 00:00:00+00:00,3709
2025-02-04 00:00:00+00:00,3712
2025-02-05 00:00:00+00:00,3715
2025-02-06 00:00:00+00:00,3720
2025-02-07 00:00:00+00:00,3727
2025-02-08 00:00:00+00:00,3728
2025-02-09 00:00:00+00:00,3731
2025-02-10 00:00:00+00:00,3734
2025-02-11 00:00:00+00:00,3735
2025-02-12 00:00:00+00:00,3739
2025-02-13 00:00:00+00:00,3740
2025-02-14 00:00:00+00:00,3743
2025-02-15 00:00:00+00:00,3745
2025-02-16 00:00:00+00:00,3748
2025-02-17 00:00:00+00:00,3750
2025-02-18 00:00:00+00:00,3752
2025-02-19 00:00:00+00:00,3755
2025-02-21 00:00:00+00:00,3757
2025-02-22 00:00:00+00:00,3758
2025-02-23 00:00:00+00:00,3759
2025-02-24 00:00:00+00:00,3761
2025-02-25 00:00:00+00:00,3763
2025-02-26 00:00:00+00:00,3765
2025-02-27 00:00:00+00:00,3768
2025-02-28 00:00:00+00:00,3769
2025-03-01 00:00:00+00:00,3770
2025-03-03 00:00:00+00:00,3771
2025-03-04 00:00:00+00:00,3774
2025-03-05 00:00:00+00:00,3775
2025-03-06 00:00:00+00:00,3777
2025-03-07 00:00:00+00:00,3778
2025-03-09 00:00:00+00:00,3783
2025-03-10 00:00:00+00:00,3784
2025-03-11 00:00:00+00:00,3787
2025-03-12 00:00:00+00:00,3791
2025-03-13 00:00:00+00:00,3793
2025-03-14 00:00:00+00:00,3796
2025-03-15 00:00:00+00:00,3797
2025-03-16 00:00:00+00:00,3798
2025-03-17 00:00:00+00:00,3799
2025-03-18 00:00:00+00:00,3804
2025-03-20 00:00:00+00:00,3808
2025-03-21 00:00:00+00:00,3811
2025-03-22 00:00:00+00:00,3812
2025-03-23 00:00:00+00:00,3814
2025-03-25 00:00:00+00:00,3816
2025-03-27 00:00:00+00:00,3817
2025-03-28 00:00:00+00:00,3819
2025-03-29 00:00:00+00:00,3822
2025-03-30 00:00:00+00:00,3823
2025-03-31 00:00:00+00:00,3824
2025-04-02 00:00:00+00:00,3827
2025-04-03 00:00:00+00:00,3828
2025-04-05 00:00:00+00:00,3829
2025-04-06 00:00:00+00:00,3830
2025-04-07 00:00:00+00:00,3831
2025-04-08 00:00:00+00:00,3832
2025-04-09 00:00:00+00:00,3833
2025-04-10 00:00:00+00:00,3834
2025-04-11 00:00:00+00:00,3837
2025-04-14 00:00:00+00:00,3840
2025-04-16 00:00:00+00:00,3841
2025-04-19 00:00:00+00:00,3842
2025-04-21 00:00:00+00:00,3843
2025-04-22 00:00:00+00:00,3844
2025-04-24 00:00:00+00:00,3845
2025-04-27 00:00:00+00:00,3847
2025-04-29 00:00:00+00:00,3848
2025-05-02 00:00:00+00:00,3849
2025-05-03 00:00:00+00:00,3850
2025-05-05 00:00:00+00:00,3851
2025-05-12 00:00:00+00:00,3852
2025-05-13 00:00:00+00:00,3853
2025-05-15 00:00:00+00:00,3855
2025-05-20 00:00:00+00:00,3856
2025-05-22 00:00:00+00:00,3858
2025-05-23 00:00:00+00:00,3859
2025-05-24 00:00:00+00:00,3860
2025-05-27 00:00:00+00:00,3862
2025-05-30 00:00:00+00:00,3864
2025-05-31 00:00:00+00:00,3866
2025-06-02 00:00:00+00:00,3869
